CustomerID,Recency,Frequency,Monetary,AvgOrderValue,OrderValueStd,TotalItems,AvgItemsPerOrder,FirstPurchase,LastPurchase,ProductVariety,CustomerLifetime,ItemsPerOrder,Cluster,Silhouette_Score,SegmentName
12347,2,7,4310.0,23.681318681318682,23.28990231050118,2458,13.505494505494505,2010-12-07 14:57:00,2011-12-07 15:52:00,1,365,351.14285714285717,3,0.6478833426584152,💎 Loyal Customers
12348,75,4,1797.24,57.97548387096774,48.51485730087981,2341,75.51612903225806,2010-12-16 19:09:00,2011-09-25 13:13:00,1,282,585.25,3,0.5600380601805577,💎 Loyal Customers
12349,19,1,1757.55,24.076027397260273,34.655912704589504,631,8.643835616438356,2011-11-21 09:51:00,2011-11-21 09:51:00,1,0,631.0,3,0.6686909624221665,💎 Loyal Customers
12350,310,1,334.4,19.670588235294115,7.275538185065964,197,11.588235294117647,2011-02-02 16:01:00,2011-02-02 16:01:00,1,0,197.0,0,0.6807105460354279,⚠️ At-Risk Customers
12352,36,8,2506.04,29.482823529411764,51.68790029756352,536,6.305882352941176,2011-02-16 12:33:00,2011-11-03 14:37:00,1,260,67.0,3,0.6300310707679965,💎 Loyal Customers
12353,204,1,89.0,22.25,12.215427404174878,20,5.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,0,20.0,0,0.5776530575209671,⚠️ At-Risk Customers
12354,232,1,1079.4,18.610344827586207,8.679742086377074,530,9.137931034482758,2011-04-21 13:11:00,2011-04-21 13:11:00,1,0,530.0,0,0.6559205799948212,⚠️ At-Risk Customers
12355,214,1,459.4,35.33846153846154,29.70352219466962,240,18.46153846153846,2011-05-09 13:49:00,2011-05-09 13:49:00,1,0,240.0,0,0.6086250362035098,⚠️ At-Risk Customers
12356,23,3,2811.43,47.65135593220339,48.5722968956169,1591,26.966101694915253,2011-01-18 09:50:00,2011-11-17 08:40:00,1,302,530.3333333333334,3,0.6784721103444858,💎 Loyal Customers
12357,33,1,6207.67,47.38679389312977,39.56476161876249,2708,20.671755725190838,2011-11-06 16:07:00,2011-11-06 16:07:00,1,0,2708.0,3,0.5632626501865238,💎 Loyal Customers
12358,2,2,1168.06,61.47684210526315,52.27752321904825,248,13.052631578947368,2011-07-12 10:04:00,2011-12-08 10:26:00,1,149,124.0,3,0.6534911084452273,💎 Loyal Customers
12359,58,4,6372.58,25.695887096774193,31.33620817089572,1622,6.540322580645161,2011-01-12 12:43:00,2011-10-13 12:47:00,1,274,405.5,3,0.5568233246783971,💎 Loyal Customers
12360,52,3,2662.06,20.63612403100775,21.39461772670865,1165,9.031007751937985,2011-05-23 09:43:00,2011-10-18 15:22:00,1,148,388.3333333333333,3,0.6589426221560343,💎 Loyal Customers
12361,287,1,189.9,18.990000000000002,3.280396317520186,91,9.1,2011-02-25 13:51:00,2011-02-25 13:51:00,1,0,91.0,0,0.6957933952319902,⚠️ At-Risk Customers
12362,3,10,5226.23,19.647481203007516,9.664671282056695,2229,8.3796992481203,2011-02-17 10:30:00,2011-12-06 15:40:00,1,292,222.9,3,0.581993920440713,💎 Loyal Customers
12363,110,2,552.0,24.0,15.751238912311859,408,17.73913043478261,2011-04-11 13:29:00,2011-08-22 10:18:00,1,132,204.0,3,0.3261614176549846,💎 Loyal Customers
12364,8,4,1313.1,15.448235294117646,8.910810071730502,1506,17.71764705882353,2011-08-19 15:24:00,2011-12-02 10:22:00,1,104,376.5,3,0.7063852075265636,💎 Loyal Customers
12365,291,2,641.38,29.153636363636362,65.1966351414414,174,7.909090909090909,2011-02-21 13:51:00,2011-02-21 14:04:00,1,0,87.0,0,0.6887328703365458,⚠️ At-Risk Customers
12367,4,1,168.9,15.354545454545455,5.648958069655612,173,15.727272727272727,2011-12-05 16:48:00,2011-12-05 16:48:00,1,0,173.0,3,0.6605168533773909,💎 Loyal Customers
12370,51,4,3545.69,21.231676646706585,21.116236420001904,2353,14.089820359281438,2010-12-14 12:58:00,2011-10-19 14:51:00,1,309,588.25,3,0.6492411250641505,💎 Loyal Customers
12371,45,2,1887.96,29.96761904761905,44.277857887191665,591,9.380952380952381,2011-10-11 10:43:00,2011-10-26 10:16:00,1,14,295.5,3,0.6675144527869988,💎 Loyal Customers
12372,72,3,1298.04,24.962307692307693,16.38258168926466,794,15.26923076923077,2011-02-16 12:46:00,2011-09-29 12:12:00,1,224,264.6666666666667,3,0.601912986002586,💎 Loyal Customers
12373,311,1,364.6,26.042857142857144,10.26028296848613,197,14.071428571428571,2011-02-01 13:10:00,2011-02-01 13:10:00,1,0,197.0,0,0.6795491932681376,⚠️ At-Risk Customers
12374,25,1,742.9300000000001,22.513030303030305,19.77401063973374,342,10.363636363636363,2011-11-14 15:37:00,2011-11-14 15:37:00,1,0,342.0,3,0.6706920594880268,💎 Loyal Customers
12375,11,2,457.5,26.91176470588235,14.672205115154863,178,10.470588235294118,2011-09-02 14:23:00,2011-11-29 10:36:00,1,87,89.0,3,0.6894063280594014,💎 Loyal Customers
12377,315,2,1628.12,21.144415584415583,15.531661592534688,944,12.25974025974026,2010-12-20 09:37:00,2011-01-28 15:45:00,1,39,472.0,0,0.6656442493986094,⚠️ At-Risk Customers
12378,130,1,4008.62,18.30420091324201,8.958342412809236,2529,11.547945205479452,2011-08-02 10:34:00,2011-08-02 10:34:00,1,0,2529.0,3,0.09946760139773851,💎 Loyal Customers
12379,82,2,852.24,21.306,12.201029969133439,407,10.175,2011-06-22 16:32:00,2011-09-19 10:09:00,1,88,203.5,3,0.5375825884175979,💎 Loyal Customers
12380,22,4,2724.81,26.200096153846154,27.08885288224848,1127,10.836538461538462,2011-06-07 09:49:00,2011-11-18 11:27:00,1,164,281.75,3,0.700079540311715,💎 Loyal Customers
12381,5,5,1845.31,21.21045977011494,25.892950235134975,808,9.28735632183908,2011-08-12 09:57:00,2011-12-05 12:44:00,1,115,161.6,3,0.6981878391936344,💎 Loyal Customers
12383,185,5,1850.56,18.69252525252525,12.680055152091024,1532,15.474747474747474,2010-12-22 14:28:00,2011-06-08 08:02:00,1,167,306.4,0,0.37012502514219275,⚠️ At-Risk Customers
12384,29,2,585.27,21.676666666666666,17.295302608156128,126,4.666666666666667,2011-08-10 11:23:00,2011-11-11 08:39:00,1,92,63.0,3,0.6934405276697679,💎 Loyal Customers
12386,338,2,401.9,40.19,22.821064830546362,354,35.4,2010-12-08 09:53:00,2011-01-06 12:37:00,1,29,177.0,0,0.6431987724189985,⚠️ At-Risk Customers
12388,16,6,2780.66,27.8066,16.84279813241532,1462,14.62,2011-01-17 11:12:00,2011-11-24 12:30:00,1,311,243.66666666666666,3,0.6837150115223987,💎 Loyal Customers
12390,80,1,549.84,17.1825,7.172142344268664,353,11.03125,2011-09-21 09:33:00,2011-09-21 09:33:00,1,0,353.0,3,0.5208950995455247,💎 Loyal Customers
12391,22,1,460.89,4.6089,5.523439108549907,300,3.0,2011-11-18 12:07:00,2011-11-18 12:07:00,1,0,300.0,3,0.6651265145528229,💎 Loyal Customers
